realtime,framenum,rendertime(ms),GPUUtil(%)
0.366108,6,29.929800,39
0.397917,6,9.020300,39
0.427858,7,27.902600,39
0.460076,8,30.257900,39
0.491732,9,29.632400,39
0.522169,10,28.423400,39
0.552991,11,28.888100,39
0.585662,12,30.175100,30
0.615298,13,26.967500,30
0.646434,14,29.118600,30
0.678361,15,29.938200,30
0.710874,16,30.468500,30
0.741121,17,28.184100,30
0.772659,18,29.702200,27
0.804524,19,30.095700,27
0.834337,20,27.629600,27
0.864881,21,28.614600,27
0.896960,22,30.294500,27
0.929760,23,30.824400,27
0.959063,24,27.617600,27
0.992037,25,31.231200,27
1.021559,26,27.506100,27
1.058577,27,35.117200,27
1.084103,28,23.561400,27
1.116601,29,30.389200,27
1.151835,30,33.558400,27
1.178006,31,24.229100,26
1.212106,32,32.145900,26
1.240271,33,26.173100,26
1.274160,34,31.742800,26
1.305104,35,28.925400,26
1.334367,36,27.526000,26
1.370121,37,33.801000,26
1.396371,38,23.602600,30
1.427968,39,29.611600,30
1.466150,40,36.276000,30
1.490935,41,22.770700,30
1.524378,42,31.634300,30
1.553941,43,27.462700,30
1.589238,44,32.448300,33
1.618028,45,26.814200,33
1.647224,46,27.138900,33
1.683149,47,33.849300,33
1.709423,48,24.258700,33
1.743129,49,31.743500,33
1.772571,50,27.375900,33
1.806118,51,31.725400,33
1.834668,52,26.507900,33
1.865296,53,25.921600,33
1.902167,54,34.859500,33
1.929498,55,23.613500,33
1.960512,56,28.866400,33
1.992775,57,30.253200,32
2.027256,58,32.393600,32
2.059202,59,29.929600,32
2.085672,60,24.485300,32
2.117339,61,29.725000,32
2.146683,62,27.228300,32
2.178155,63,29.485200,32
2.209930,64,29.850300,37
2.241511,65,29.570700,37
2.271579,66,28.088800,37
2.302935,67,29.253800,37
2.335105,68,30.165300,37
2.365430,69,28.383900,37
2.395821,70,28.462200,27
2.427965,71,30.342100,27
2.460190,72,30.189200,27
2.491280,73,29.073600,27
2.522690,74,29.631500,27
2.554104,75,29.372600,27
2.586307,76,29.518300,27
2.616650,77,27.685600,26
2.646659,78,28.014300,26
2.679066,79,30.449000,26
2.710973,80,29.837600,26
2.741534,81,28.597000,26
2.774129,82,30.658200,26
2.805410,83,29.231700,28
2.834142,84,27.094800,28
2.865735,85,29.631800,28
2.897274,86,29.491900,28
2.927625,87,28.416500,28
2.959382,88,29.817500,28
2.993294,89,31.979000,29
3.021548,90,26.298800,29
3.052402,91,28.125600,29
3.083982,92,29.104200,29
3.117137,93,31.140900,29
3.152139,94,33.085900,29
3.179485,95,25.435800,29
3.209758,96,28.278400,30
3.242634,97,30.892100,30
3.275191,98,30.496000,30
3.305449,99,28.333700,30
3.336329,100,28.937900,30
3.366547,101,28.136100,30
3.396438,102,28.025800,30
3.429038,103,30.609400,29
3.460737,104,29.765400,29
3.490174,105,27.939400,29
3.521236,106,29.129800,29
3.554337,107,31.332800,29
3.584400,108,28.059500,29
3.615734,109,29.393500,31
3.646678,110,28.722000,31
3.679415,111,30.734800,31
3.709166,112,27.850800,31
3.740878,113,29.720200,31
3.773186,114,30.437400,31
3.802681,115,27.560900,24
3.834704,116,29.435300,24
3.866029,117,29.424500,24
3.896772,118,28.798900,24
3.927175,119,28.439500,24
3.959687,120,30.736400,24
3.992353,121,30.656100,24
4.021162,122,26.743700,24
4.053134,123,29.540600,24
4.084884,124,29.171300,24
4.115038,125,28.201000,24
4.146649,126,29.691500,24
4.177687,127,29.026600,24
4.210982,128,31.291200,29
4.241198,129,28.256300,29
4.285270,130,42.232900,29
4.305254,131,18.343800,29
4.335379,132,28.560600,29
4.365247,133,27.874900,29
4.398085,134,30.813700,29
4.430452,135,30.366700,26
4.460641,136,25.728800,26
4.485412,137,8.697100,26
4.516955,138,30.361700,26
4.548008,139,29.976000,26
4.579456,140,30.156600,26
4.610554,141,29.925200,26
4.642143,142,31.173700,31
4.672900,143,29.809900,31
4.704434,144,31.088400,31
4.735481,145,30.579600,31
4.766560,146,30.680600,31
4.798082,147,30.262800,31
4.829205,148,30.687800,19
4.860308,149,30.697400,19
4.891543,150,29.652400,19
4.922889,151,30.700400,19
4.954423,152,31.108200,19
4.985986,153,31.159000,19
5.017014,154,29.872800,19
5.048814,155,31.406800,10
5.080004,156,30.752300,10
5.110578,157,29.506200,10
5.142066,158,30.900200,10
5.173506,159,30.962100,10
5.204725,160,30.821800,10
5.235719,161,29.882600,6
5.267083,162,30.675500,6
5.298585,163,31.121800,6
5.329509,164,29.981100,6
5.360606,165,30.349700,6
5.391933,166,30.934500,6
5.423379,167,30.498300,6
5.454223,168,29.942500,6
5.485737,169,30.993400,6
5.516995,170,30.848200,6
5.548203,171,30.190500,6
5.579252,172,30.653900,6
5.611122,173,31.459600,6
5.641817,174,29.696800,7
5.673177,175,30.952400,7
5.704626,176,30.695300,7
5.735974,177,30.800800,7
5.766727,178,29.770200,7
5.798071,179,30.862700,7
5.829843,180,30.624600,6
5.860308,181,29.799300,6
5.892362,182,31.022000,6
5.923097,183,30.343500,6
5.954567,184,31.090000,6
5.985738,185,29.614800,6
6.016755,186,29.697600,6
6.048888,187,31.603100,6
6.079697,188,30.120500,6
6.110784,189,30.659100,6
6.141766,190,30.551700,6
6.173499,191,31.260500,6
6.204657,192,30.654300,6
6.235517,193,29.609400,9
6.267032,194,30.598400,9
6.298370,195,30.153800,9
6.329133,196,29.272000,9
6.360762,197,30.354900,9
6.391834,198,29.781100,9
6.423116,199,30.475100,7
6.454581,200,30.275100,7
6.486451,201,30.222500,7
6.517271,202,30.023200,7
6.548779,203,30.141400,7
6.579369,204,29.600600,7
6.610964,205,30.908500,7
6.642638,206,30.058300,9
6.674250,207,30.601200,9
6.704872,208,29.791300,9
6.735466,209,29.340300,9
6.767059,210,30.109700,9
6.798356,211,30.733900,9
6.829426,212,30.000100,8
6.860517,213,29.347100,8
6.892351,214,30.573300,8
6.923036,215,30.023600,8
6.954869,216,31.322900,8
6.985554,217,29.458100,8
7.016749,218,30.127400,8
7.048397,219,30.454500,8
7.079533,220,29.554700,8
7.110820,221,30.790400,8
7.141895,222,29.878300,8
7.173039,223,30.622000,8
7.204090,224,29.911700,8
7.235620,225,30.331100,6
7.266591,226,29.788600,6
7.298404,227,30.400000,6
7.329694,228,30.107300,6
7.360858,229,30.135300,6
7.391878,230,30.492400,6
7.423314,231,30.422100,6
7.454280,232,29.709300,7
7.485515,233,30.218100,7
7.516661,234,30.625500,7
7.548010,235,30.101000,7
7.579355,236,30.167300,7
7.610707,237,29.896500,7
7.641731,238,29.877200,7
7.673053,239,30.857900,7
7.704480,240,31.024500,7
7.735923,241,30.000500,7
7.768897,242,32.437800,7
7.800623,243,30.720400,7
7.831490,244,29.833500,7
7.863029,245,29.980400,8
7.894012,246,29.959600,8
7.925709,247,30.674400,8
7.956762,248,29.471600,8
7.988391,249,30.604200,8
8.019810,250,29.567500,8
8.052044,251,30.319700,18
8.084251,252,30.524200,18
8.113720,253,28.477300,18
8.146793,254,31.488700,18
8.175588,255,27.878400,18
8.207019,256,30.441900,18
8.237866,257,29.816800,18
8.270086,258,30.713500,18
8.300124,259,28.434900,18
8.332071,260,30.942100,18
8.363750,261,30.679000,18
8.393755,262,28.317800,18
8.425277,263,30.502900,18
8.456990,264,30.719300,16
8.487883,265,29.244800,16
8.519206,266,30.287500,16
8.550572,267,30.418900,16
8.582191,268,30.609500,16
8.612561,269,28.790800,16
8.644768,270,31.078800,13
8.676309,271,30.545700,13
8.707161,272,29.248400,13
8.738177,273,30.005300,13
8.769665,274,30.454300,13
8.801225,275,30.211500,13
8.831841,276,28.918400,13
8.864594,277,31.627600,15
8.896609,278,30.902600,15
8.927455,279,29.798300,15
8.958865,280,29.644800,15
8.989991,281,30.015900,15
9.021800,282,30.090100,15
9.051934,283,28.467900,22
9.083003,284,29.003800,22
9.114462,285,30.341100,22
9.145083,286,29.429500,22
9.176225,287,23.293700,22
9.209010,288,30.994800,22
9.240054,289,29.993300,22
9.270702,290,28.502200,19
9.302082,291,29.678900,19
9.332890,292,28.783200,19
9.365378,293,30.764700,19
9.394736,294,27.651600,19
9.425662,295,29.872700,19
9.458511,296,31.797700,22
9.488182,297,28.559100,22
9.519924,298,30.124700,22
9.551735,299,30.770100,22
9.581981,300,28.512000,22
9.613374,301,30.383200,22
9.647014,302,32.596900,15
9.680188,303,31.352000,15
9.710732,304,28.846800,15
9.742212,305,29.530300,15
9.773839,306,29.668400,15
9.808955,307,33.355600,15
9.836614,308,25.785100,15
9.868103,309,29.760700,28
9.898211,310,28.086100,28
9.927863,311,27.993100,28
9.959730,312,29.922900,28
9.991044,313,29.465500,28
10.024320,314,31.461100,28
10.052747,315,26.720000,30
10.084780,316,29.719400,30
10.117829,317,31.137800,30
10.147727,318,28.308600,30
10.178214,319,28.646000,30
10.210080,320,29.985400,30
10.242598,321,30.630300,30
10.272807,322,28.488600,27
10.303976,323,29.411300,27
10.335311,324,28.580200,27
10.366763,325,28.096000,27
10.396354,326,27.692800,27
10.428362,327,30.091600,27
10.460578,328,30.316000,30
10.491574,329,29.003400,30
10.523444,330,30.086100,30
10.553710,331,28.526800,30
10.585975,332,29.515800,30
10.617870,333,29.996700,30
10.651119,334,31.317100,30
10.680497,335,27.645100,30
10.712053,336,29.769200,30
10.743525,337,29.441400,30
10.776979,338,31.734000,30
10.805427,339,26.575900,30
10.836500,340,29.094000,30
10.867078,341,28.783300,33
10.901279,342,32.306200,33
10.930400,343,27.203800,33
10.961227,344,28.853400,33
10.995303,345,32.272500,33
11.022299,346,25.247700,33
11.056104,347,30.948100,33
11.086933,348,29.238900,35
11.117005,349,28.538800,35
11.146880,350,27.947700,35
11.178167,351,29.411500,35
11.210573,352,30.474400,35
11.240264,353,26.812200,35
11.272933,354,30.773500,26
11.303054,355,28.548400,26
11.335315,356,29.596400,26
11.365076,357,26.066300,26
11.396681,358,29.782200,26
11.428358,359,29.706900,26
11.461495,360,28.245000,26
11.492816,361,29.310700,28
11.525037,362,29.600600,28
11.556522,363,29.003600,28
11.584811,364,25.288000,28
11.617294,365,29.107500,28
11.648499,366,29.266900,28
11.678336,367,27.863700,28
11.710181,368,29.881900,35
11.741901,369,29.746300,35
11.773536,370,30.029900,35
11.803428,371,27.246700,35
11.834669,372,28.435100,35
11.866121,373,29.471400,35
11.896334,374,27.282700,27
11.927917,375,29.674200,27
11.960916,376,31.128700,27
11.990362,377,27.459700,27
12.021972,378,29.412700,27
12.052895,379,28.959100,27
12.085110,380,30.233200,27
12.115452,381,28.505800,30
12.147843,382,30.475300,30
12.178880,383,29.386900,30
12.209082,384,27.432200,30
12.242783,385,31.780500,30
12.271897,386,27.011600,30
12.307233,387,33.416000,24
12.335320,388,26.144300,24
12.367506,389,29.291400,24
12.397796,390,28.336500,24
12.431333,391,31.644400,24
12.461455,392,27.238700,24
12.491723,393,28.343000,29
12.526360,394,32.687200,29
12.554463,395,25.453800,29
12.586429,396,29.355500,29
12.617125,397,27.838400,29
12.651018,398,31.871100,29
12.679345,399,26.506900,29
12.712046,400,29.968600,34
12.744739,401,30.664500,34
12.773620,402,26.478700,34
12.804737,403,28.336800,34
12.834725,404,27.331300,34
12.867062,405,30.386600,34
12.898431,406,29.396600,34
12.928355,407,28.031300,33
12.960158,408,29.823100,33
12.991532,409,29.453100,33
13.022719,410,29.467900,33
13.052699,411,28.431800,33
13.084887,412,29.722700,33
13.116693,413,28.440900,30
13.148554,414,29.935000,30
13.181431,415,30.928800,30
13.211481,416,27.307400,30
13.244779,417,31.274400,30
13.273211,418,26.408100,30
13.307484,419,32.256200,30
13.334449,420,25.045100,30
13.365136,421,28.778400,30
13.398295,422,31.248300,30
13.427576,423,26.456600,30
13.458857,424,29.351700,30
13.492527,425,31.889600,30
13.520794,426,26.270500,29
13.552642,427,30.036300,29
13.584305,428,29.587200,29
13.616827,429,30.448100,29
13.646322,430,27.573800,29
13.678212,431,29.723700,29
13.710565,432,30.407800,25
13.740639,433,28.101600,25
13.772901,434,30.238300,25
13.803293,435,28.827500,25
13.835327,436,29.359500,25
13.864923,437,26.965900,25
13.897325,438,30.549000,25
13.928351,439,29.055400,25
13.959566,440,29.229600,25
13.990473,441,28.891400,25
14.022705,442,30.148900,25
14.057007,443,31.662400,25
14.085521,444,26.070100,25
14.118508,445,30.360200,30
14.148886,446,27.698400,30
14.182509,447,31.668000,30
14.211686,448,27.225100,30
14.241864,449,28.120900,30
14.275718,450,30.482200,30
14.305437,451,26.712100,30
14.336589,452,28.625900,33
14.367038,453,27.620700,33
14.400495,454,31.464000,33
14.429316,455,26.192400,33
14.462024,456,30.684600,33
14.493608,457,29.632500,33
14.523910,458,27.818600,35
14.552853,459,26.939000,35
14.583929,460,29.110600,35
14.617216,461,31.384700,35
14.647322,462,27.236200,35
14.678257,463,28.939900,35
14.709770,464,29.501900,35
14.740374,465,27.798300,31
14.771699,466,29.353100,31
14.803819,467,30.171000,31
14.833839,468,27.162900,31
14.866175,469,30.366800,31
14.897650,470,28.601300,31
14.930969,471,31.413300,24
14.961017,472,27.203100,24
14.991339,473,28.277300,24
15.026188,474,32.868800,24
15.052205,475,23.435800,24
15.084588,476,29.879200,24
15.116135,477,29.430600,24
15.148468,478,30.267400,32
15.177964,479,26.731200,32
15.209503,480,29.581300,32
15.241709,481,30.156600,32
15.272506,482,27.399300,32
15.303130,483,29.043500,32
15.334666,484,28.849000,28
15.367349,485,30.696400,28
15.395925,486,26.611700,28
15.429386,487,31.607900,28
15.460703,488,29.246100,28
15.494368,489,31.685100,28
15.523777,490,26.282400,28
15.552899,491,26.459300,28
15.586621,492,31.058400,28
15.615707,493,26.265600,28
15.646550,494,28.839100,28
