realtime,framenum,rendertime(ms),GPUUtil(%)
0.170225,10,5.579400,81
0.188820,10,0.000500,81
0.189129,10,0.310600,81
0.192841,10,3.400400,81
0.201026,11,6.294500,81
0.209884,12,4.622200,81
0.218489,13,6.047000,81
0.226454,14,6.034600,81
0.234574,15,5.632100,81
0.242910,16,6.454900,81
0.251769,17,15.314500,81
0.259784,18,5.627100,81
0.269443,19,5.158500,81
0.276869,20,5.644700,81
0.284968,21,6.235200,81
0.292844,22,5.604900,81
0.300504,23,6.008400,81
0.309658,24,4.768900,81
0.319304,26,5.881500,81
0.326198,26,6.041800,82
0.333866,27,5.965100,82
0.343005,28,5.573400,82
0.351119,29,5.541000,82
0.359270,30,6.284900,82
0.367031,31,5.541500,82
0.376138,32,4.729300,82
0.384813,33,6.497300,82
0.393143,34,4.655000,82
0.402701,35,6.108900,82
0.410864,36,6.010600,82
0.418693,38,6.407700,82
0.426087,38,6.372200,82
0.433927,39,6.128800,82
0.442558,40,6.147100,82
0.451799,41,5.012300,82
0.459767,42,6.522100,82
0.467295,43,5.547200,82
0.476228,44,6.471500,82
0.484387,45,6.586400,82
0.493262,46,6.757000,82
0.501187,47,6.532100,82
0.509474,48,4.788700,82
0.518640,49,6.429200,82
0.526527,50,5.346200,80
0.535246,51,6.496200,80
0.543023,52,5.730100,80
0.551466,53,6.029200,80
0.560037,54,5.052600,80
0.568687,55,6.138600,80
0.576900,56,4.915900,80
0.584769,57,5.790400,80
0.593794,58,5.315500,80
0.601364,59,12.885200,80
0.609903,60,6.390900,80
0.618796,61,6.073300,80
0.626945,62,5.722800,80
0.634599,63,5.375200,80
0.642917,64,4.120500,80
0.651657,65,6.410000,80
0.659854,66,4.257500,80
0.670199,68,5.384800,80
0.676340,68,5.354600,80
0.684280,69,5.861500,80
0.693114,70,5.272100,80
0.701714,71,4.346100,80
0.709995,72,6.103400,80
0.718499,73,6.118800,80
0.726598,74,6.168800,79
0.734100,75,5.196400,79
0.743788,76,5.372300,79
0.751715,77,5.858200,79
0.760696,78,5.368400,79
0.768717,79,5.911500,79
0.777050,80,5.744200,79
0.785507,81,6.159700,79
0.792953,82,5.378500,79
0.801982,83,5.382500,79
0.810317,84,6.175300,79
0.818503,85,5.850200,79
0.826838,86,5.678200,79
0.835409,87,4.218900,79
0.844814,88,5.217000,79
0.852186,89,5.352600,79
0.861204,90,4.937700,79
0.868898,91,5.143000,79
0.876923,92,5.660800,79
0.885374,93,6.040400,79
0.894083,94,4.437900,79
0.901459,95,5.317700,79
0.909532,96,6.059800,79
0.918703,97,6.226600,79
0.926757,98,5.290500,78
0.934859,99,6.060400,78
0.943421,100,6.114400,78
0.951479,101,4.052300,78
0.960237,102,5.303400,78
0.968761,103,5.753500,78
0.977186,104,5.676500,78
0.985720,105,6.181900,78
0.994027,106,4.422700,78
1.002041,107,4.320400,78
1.010200,108,6.274800,78
1.018361,109,5.742400,78
1.026758,110,6.130100,78
1.035429,111,3.668300,78
1.043858,112,6.214600,78
1.052313,113,6.135000,78
1.060015,114,5.345300,78
1.070560,115,5.187800,78
1.077925,116,5.238100,78
1.085338,117,4.063500,78
1.093439,118,6.186300,78
1.101738,119,6.150000,78
1.109849,120,5.853300,78
1.118810,121,5.245500,78
1.126948,122,5.430800,78
1.134982,123,5.960300,78
1.143450,124,4.918000,78
1.151806,125,4.045200,78
1.160040,126,4.772900,78
