realtime,framenum,rendertime(ms),fps,GPUUtil(%)
0.241503,8,7.3729,384.118001,53
0.279347,8,0.0008,263.866863,53
0.279792,8,0.0007,263.866863,53
0.293422,9,7.1844,231.762422,53
0.309478,10,10.0413,206.011979,53
0.325967,11,7.7882,184.97087,53
0.341393,12,6.7042,168.719609,53
0.358306,13,7.9941,154.439836,52
0.374498,14,7.2744,142.176591,52
0.39187,15,7.4325,131.555175,52
0.408826,16,4.6651,122.241917,52
0.428383,17,8.1636,113.597422,52
0.442343,18,5.3719,107.687796,52
0.460879,19,6.326,101.110837,52
0.475222,20,8.1649,96.272582,52
0.492342,21,16.2289,91.340745,52
0.508918,22,5.3628,86.904077,52
0.52542,23,5.3302,82.942123,52
0.541906,24,7.4495,79.276847,52
0.55955,25,6.1236,75.803249,50
0.5749,26,5.9524,72.926517,50
0.592732,27,5.6859,69.969883,50
0.608747,28,7.2698,67.371311,50
0.625513,29,5.2063,65.008418,50
0.642649,30,5.7416,62.624898,50
0.659645,31,5.7125,60.522784,50
0.67681,32,5.5153,58.470801,50
0.692545,33,6.2872,56.728308,50
0.708627,34,7.1323,55.041206,50
0.725735,35,5.2205,53.396146,50
0.741398,36,7.2836,51.908045,50
0.758688,37,5.5014,50.426118,50
0.775852,38,5.5066,49.012264,50
0.792353,39,5.0427,47.730388,50
0.808961,40,5.1223,46.476976,50
0.825473,41,5.073,45.334581,50
0.842097,42,7.645,44.219873,50
0.859333,43,5.8706,43.141569,50
0.875758,44,5.391,42.119693,50
0.892651,45,8.288,41.175308,50
0.908318,46,6.7595,40.273159,50
0.927566,47,7.1696,39.30557,50
0.942095,48,5.7698,38.526644,50
0.959604,49,5.648,37.697919,50
0.975955,50,4.8546,36.931754,50
0.992976,51,5.5631,36.185717,50
1.008791,52,6.8541,35.489254,50
1.025254,53,5.305,34.82572,50
1.042596,54,5.0875,34.13457,50
1.058605,55,6.6023,33.524793,50
1.075662,56,11.6295,32.890305,50
1.092555,57,5.3006,32.303936,50
1.10953,58,5.1977,31.725211,50
1.126161,59,5.5338,31.174337,50
1.143034,60,10.8811,30.629047,50
1.159017,61,7.0414,30.143907,50
1.17597,62,5.9669,29.988994,50
1.193663,63,5.953,29.974917,50
1.208868,64,5.5981,30.034555,50
1.226639,65,6.3905,30.031804,50
1.242852,66,8.2095,29.983401,50
1.259351,67,7.2078,30.043479,50
1.275678,68,6.7229,30.050367,50
1.29195,69,7.8025,30.058295,50
1.30827,70,6.9818,30.031891,50
1.32532,71,5.311,30.026462,50
1.342654,72,5.9265,29.966036,50
1.359887,73,7.6957,29.958295,52
1.375604,74,7.8027,29.979152,52
1.392323,75,7.9938,29.996616,52
1.40816,76,7.337,30.02896,52
1.426619,77,6.1552,30.052562,52
1.443387,78,7.9121,29.980423,52
1.458428,79,6.4606,30.061515,52
1.475037,80,5.1169,30.004711,52
1.492643,81,5.23,29.990148,52
1.509872,82,5.44,29.965701,52
1.525614,83,6.6807,29.999658,52
1.541843,84,5.0082,30.006923,52
1.557996,85,6.6325,30.048887,52
1.575593,86,5.1546,29.984333,52
1.592651,87,5.1906,29.997747,52
1.608129,88,6.1803,30.019173,52
1.62598,89,6.034,29.979293,52
1.641932,90,7.4494,30.021456,52
1.659753,91,6.644,30.000501,52
1.674825,92,6.1183,30.054106,52
1.692337,93,6.0985,30.010125,52
1.709012,94,7.5483,29.993794,52
1.726097,95,5.723,29.991617,52
1.742096,96,4.56,29.978949,52
1.760014,97,6.5493,29.963891,49
1.775584,98,6.8558,30.005509,49
1.792907,99,11.0625,29.989435,49
1.809277,100,5.355,29.992352,49
1.826155,101,5.7223,29.981654,49
1.841581,102,6.8831,30.010366,49
1.859848,103,6.5906,29.983416,49
1.87581,104,7.1475,30.004045,49
1.892204,105,7.9678,30.014761,49
1.908773,106,7.3857,29.995003,49
1.926369,107,6.3995,30.026339,49
1.942858,108,6.8978,29.978392,49
1.959321,109,7.7828,30.007874,51
1.976214,110,5.7084,29.996688,51
1.992468,111,6.4703,30.014968,51
2.008777,112,5.1557,30.001911,51
2.026429,113,6.2834,29.963364,51
2.042944,114,9.7716,29.992175,51
2.060932,115,6.7571,29.948013,51
2.076045,116,5.6526,29.987237,51
2.092854,117,6.4353,29.992826,51
2.109924,118,5.5347,29.98398,51
2.126062,119,7.2233,30.003237,51
2.142563,120,4.946,30.011032,51
2.159652,121,7.5489,29.987297,50
2.176871,122,4.7107,29.967099,50
2.193642,123,5.4776,29.991701,50
