realtime,framenum,rendertime(ms),GPUUtil(%)
0.328988,10,8.269600,59
0.348063,10,0.000800,59
0.357032,11,8.957700,59
0.372626,12,8.874400,59
0.388869,13,9.091900,59
0.406862,14,11.065400,59
0.422467,15,8.658700,59
0.438677,16,9.267900,59
0.456082,17,7.234600,59
0.471447,18,8.585600,59
0.489096,19,7.694400,59
0.505177,20,8.757500,57
0.521769,21,6.328700,57
0.538595,22,6.629400,57
0.555725,23,10.080700,57
0.572111,24,9.511100,57
0.589300,25,7.271400,57
0.604551,26,8.021900,57
0.623163,27,8.112500,57
0.639037,28,8.972300,57
0.655416,29,9.349100,57
0.675237,30,12.994900,57
0.689065,31,6.948500,57
0.705193,32,9.561500,56
0.721178,33,8.898000,56
0.738500,34,6.854300,56
0.754490,35,9.322900,56
0.771795,36,7.112500,56
0.788563,37,6.349300,56
0.806869,38,11.595400,56
0.821810,39,8.071900,56
0.838641,40,9.864800,56
0.855122,41,9.756800,56
0.871890,42,10.078300,56
0.888054,43,6.231800,56
0.905389,44,7.052600,57
0.921541,45,9.177600,57
0.939566,46,11.583000,57
0.954805,47,8.390500,57
0.971532,48,6.101600,57
0.988646,49,6.694000,57
1.004596,50,9.003300,57
1.020543,51,9.066800,57
1.038926,52,7.860800,57
1.056117,53,10.541700,57
1.072258,54,9.162100,57
1.089519,55,10.333600,57
1.105502,56,9.357900,56
1.121479,57,9.339800,56
1.137979,58,6.314600,56
1.156067,59,8.296700,56
1.171562,60,8.770100,56
1.187831,61,9.780500,56
1.205571,62,7.251200,56
1.221481,63,5.144300,56
1.238598,64,6.746000,56
1.254735,65,5.848000,56
1.271097,66,6.203800,56
1.288390,67,6.970300,56
1.304778,68,9.671100,56
1.321539,69,6.523000,56
1.338385,70,9.655000,56
1.354525,71,6.403300,56
1.372591,72,7.992800,56
1.388149,73,8.550700,56
1.404618,74,9.499700,56
1.421290,75,6.149000,56
1.437441,76,9.287600,56
1.456321,77,8.594900,56
1.471267,78,8.078600,56
