realtime,framenum,rendertime(ms),GPUUtil(%)
0.185888,6,16.686500,99
0.206914,6,0.000500,99
0.221445,7,14.225400,99
0.239182,8,16.881700,99
0.256005,9,15.951300,99
0.274323,10,17.837000,99
0.291347,11,16.468700,99
0.309435,12,17.587900,99
0.325864,13,15.934700,99
0.343835,14,17.448300,99
0.360393,15,15.645100,99
0.378109,16,16.693400,99
0.394861,17,16.139100,99
0.412394,18,16.870100,99
0.429185,19,16.290700,99
0.447425,20,17.730200,99
0.465080,21,17.108300,99
0.481778,22,16.157600,99
0.499300,23,16.629300,99
0.515908,24,15.688500,99
0.534472,25,17.926200,99
0.551590,26,16.551300,99
0.570220,27,18.068700,99
0.587106,28,16.316000,99
0.604738,29,17.012800,99
0.621568,30,16.264000,99
0.639143,31,16.699400,99
0.655722,32,15.612600,99
0.673991,33,17.759700,99
0.690883,34,16.279900,99
0.708699,35,17.324100,99
0.725710,36,16.506600,99
0.743531,37,17.315400,99
0.760633,38,16.091900,99
0.778389,39,16.942400,99
0.796740,40,17.479100,99
0.813302,41,16.013200,99
0.831649,42,17.854900,99
0.848060,43,15.914200,99
0.865895,44,17.333700,99
0.883645,45,17.196000,99
0.901216,46,16.800500,99
0.917760,47,15.755500,99
0.935601,48,17.380800,99
0.952393,49,16.293100,99
0.970734,50,17.717400,99
0.987493,51,16.258100,99
1.005816,52,17.820000,99
1.022395,53,16.044000,99
1.039767,54,16.383200,99
1.056607,55,15.867400,99
1.074114,56,16.999600,99
1.091114,57,16.486100,99
1.109223,58,17.482800,99
1.125563,59,15.850100,99
1.143404,60,17.350300,99
1.160528,61,16.125600,99
1.178351,62,16.969100,99
1.195251,63,16.225100,99
1.212779,64,16.894500,99
1.230491,65,17.158000,99
1.246743,66,15.697900,99
1.264186,67,16.785900,99
1.280785,68,15.783000,99
1.298605,69,16.909800,99
1.315022,70,15.520400,99
1.333079,71,17.418000,99
1.349510,72,15.678400,99
1.367654,73,17.521600,99
1.384824,74,16.675600,99
1.402220,75,16.684100,99
1.418601,76,15.508700,99
1.437102,77,17.532300,99
1.453594,78,15.965400,99
1.470798,79,16.589400,99
1.487050,80,15.737900,99
1.504628,81,16.983200,99
1.521274,82,16.151100,99
1.539195,83,17.114800,99
1.555555,84,15.467500,99
1.573130,85,16.960000,99
1.589461,86,15.834700,99
1.607506,87,17.413000,99
1.624624,88,16.433700,99
1.642571,89,17.319700,99
1.659904,90,16.134400,99
