realtime,framenum,rendertime(ms),GPUUtil(%)
0.157995,10,0.002300,90
0.184943,10,0.000900,90
0.185451,10,0.000200,90
0.185851,10,0.000300,90
0.192277,11,6.126900,90
0.199870,12,7.125300,90
0.208436,13,6.345600,90
0.217104,14,6.936800,90
0.224939,15,7.297700,90
0.233488,16,6.819000,90
0.241649,17,6.481600,90
0.250590,18,7.879000,90
0.258316,19,7.162000,90
0.266711,20,6.530700,90
0.275056,21,6.366400,90
0.284068,22,7.366700,90
0.291700,23,7.039600,90
0.300488,24,7.217900,90
0.308280,25,6.928700,90
0.317589,26,7.677300,90
0.325175,27,7.163100,90
0.333258,28,6.325100,90
0.341655,29,6.215300,90
0.350654,30,8.043000,90
0.358303,31,7.040500,90
0.366579,32,6.597800,90
0.374665,33,6.173200,90
0.384625,34,8.106400,93
0.396568,35,6.993200,93
0.404311,36,7.258700,93
0.412274,37,7.277000,93
0.420264,38,7.483000,93
0.427935,39,6.806200,93
0.435715,40,7.162500,93
0.443389,41,7.237900,93
0.451704,42,7.375600,93
0.459668,43,7.418600,93
0.467836,44,7.140200,93
0.476954,45,7.074100,93
0.484406,46,6.967300,93
0.493228,47,7.018700,93
0.501872,48,6.632700,93
0.509384,49,6.603200,93
0.518234,50,6.928700,93
0.526645,51,6.733900,93
0.535002,52,6.668700,93
0.542434,53,6.964600,93
0.551004,54,5.865900,93
0.559618,55,6.977900,93
0.567590,56,6.881600,93
0.575702,57,6.540000,93
0.585000,58,6.633800,92
0.593631,59,6.867700,92
0.601246,60,6.550900,92
0.609866,61,6.515500,92
0.617370,62,5.597600,92
0.625760,63,5.463000,92
0.633706,64,5.811800,92
0.641371,65,6.015200,92
0.649496,66,5.642000,92
0.658268,67,5.407200,92
0.666762,68,5.823900,92
0.675315,69,5.396800,92
0.683084,70,6.197100,92
0.690907,71,5.512100,92
0.698720,72,4.832800,92
0.707661,73,5.747200,92
0.716436,74,5.520400,92
0.724910,75,5.490200,92
0.732617,76,6.065800,92
0.740980,77,4.971700,92
0.750040,78,6.527500,92
0.758300,79,6.284100,92
0.766149,80,6.005000,92
0.774324,81,4.795000,92
0.782409,82,4.856200,82
0.791583,83,6.374000,82
0.799907,84,6.666700,82
0.808618,85,6.474300,82
0.817364,86,7.202800,82
0.825284,87,6.220500,82
0.833690,88,6.541700,82
0.842631,89,6.973300,82
0.851001,90,7.476000,82
0.859079,91,6.496300,82
0.867409,92,6.228900,82
0.876685,93,7.404700,82
0.885215,94,8.113800,82
0.893773,95,7.931000,82
0.901894,96,7.375700,82
0.910310,97,7.587700,82
0.918863,98,7.712500,82
0.927088,99,6.925500,82
0.935685,100,7.631200,82
0.944520,101,7.722500,82
0.953366,102,8.264400,82
0.961988,103,8.154300,82
0.970511,104,7.427300,82
0.978964,105,7.867700,82
0.987681,106,7.790500,93
0.996517,107,8.286500,93
1.004499,108,7.464100,93
1.012726,109,7.638200,93
1.020493,110,7.334900,93
1.028222,111,6.850700,93
1.035824,112,7.071800,93
1.043395,113,7.072700,93
1.051345,114,7.201400,93
1.059101,115,7.239800,93
1.067282,116,7.097800,93
1.075951,117,6.884700,93
1.084372,118,7.856500,93
1.092645,119,7.714100,93
1.100716,120,7.556000,93
1.109624,121,7.901100,93
1.117388,122,7.155200,93
1.126048,123,6.883500,93
1.134200,124,6.525500,93
1.142802,125,7.125200,93
1.151012,126,7.607900,93
1.159183,127,7.601500,93
1.167275,128,7.078000,93
1.176018,129,6.760600,93
1.184577,130,6.853900,96
1.193229,131,5.535200,96
1.201163,132,5.888400,96
1.209156,133,7.048100,96
1.217534,134,6.717000,96
1.225571,135,7.362000,96
1.234590,136,5.837900,96
1.242502,137,7.402700,96
1.250980,138,7.550500,96
1.258832,139,7.283100,96
1.267073,140,6.419000,96
1.275268,141,6.090400,96
1.284215,142,7.050900,96
1.292146,143,7.247900,96
1.300720,144,6.977500,96
1.309027,145,7.407900,96
1.317929,146,7.012600,96
1.325526,147,7.095700,96
1.333684,148,6.247700,96
1.342385,149,6.917500,96
1.350535,150,7.259600,96
1.359071,151,6.596900,96
1.367690,152,6.595400,96
1.375923,153,6.312800,96
1.384294,154,6.686800,92
1.392471,155,6.355900,92
1.400794,156,6.590100,92
1.409289,157,6.574700,92
1.417489,158,7.587600,92
1.425706,159,6.461900,92
1.433969,160,6.722000,92
1.442556,161,6.785600,92
1.451705,162,6.446000,92
1.459395,163,7.125200,92
1.467332,164,7.073700,92
1.475771,165,6.429700,92
1.484768,166,7.461200,92
1.493237,167,7.310900,92
1.500628,168,6.868600,92
1.508897,169,7.304300,92
1.517524,170,6.683900,92
1.525869,171,6.819200,92
1.536040,172,5.738600,92
1.544011,173,7.355400,92
1.552086,174,7.140700,92
1.559763,175,7.158800,92
1.568410,176,6.866600,92
1.576106,177,7.065600,92
1.584175,178,7.420500,94
1.592553,179,6.519200,94
1.600359,180,6.319700,94
1.608851,181,6.251000,94
1.617690,182,6.918400,94
1.625564,183,6.451100,94
1.633846,184,6.223800,94
1.642205,185,6.574500,94
1.650584,186,6.449000,94
1.658923,187,6.787300,94
1.667944,188,6.694300,94
1.675416,189,6.813000,94
1.684300,190,7.046300,94
1.692452,191,6.172100,94
1.701114,192,6.845100,94
1.709339,193,7.230700,94
1.718013,194,6.716700,94
1.725918,195,7.312800,94
1.734355,196,6.474700,94
1.742882,197,6.908900,94
1.751221,198,7.187300,94
1.759364,199,7.577300,94
1.768497,200,7.625400,94
1.776707,201,7.683900,94
1.785540,202,8.305600,92
1.793656,203,7.586400,92
1.802115,204,8.030300,92
1.810464,205,7.378200,92
1.818824,206,7.872400,92
1.827047,207,7.294400,92
1.835123,208,7.495600,92
1.843739,209,8.190600,92
1.852509,210,7.772900,92
1.860404,211,7.397000,92
1.868011,212,6.646100,92
1.878116,213,8.684800,92
1.886366,214,7.436200,92
1.894218,215,7.105800,92
1.902362,216,7.608100,92
1.911603,217,8.150200,92
1.920493,218,8.381500,92
1.928837,219,7.392200,92
1.937018,220,7.615300,92
1.945263,221,7.780100,92
1.954069,222,8.248300,92
1.962000,223,7.486100,92
1.969610,224,6.629900,92
1.977619,225,7.472700,92
1.985872,226,7.795700,99
1.993760,227,7.300000,99
2.001235,228,6.962700,99
2.009670,229,7.483300,99
2.017908,230,7.698500,99
2.025421,231,6.831500,99
2.033722,232,6.351300,99
2.043078,233,5.911800,99
2.051274,234,7.164600,99
2.059494,235,6.706500,99
2.067570,236,7.066700,99
2.075335,237,7.120900,99
2.083798,238,6.424500,99
2.091971,239,6.099300,99
2.100857,240,6.979000,99
2.109166,241,7.274300,99
2.117586,242,6.697700,99
2.124887,243,6.759500,99
2.133325,244,6.711900,99
2.141458,245,5.966100,99
2.151661,246,7.155900,99
2.159862,247,7.638000,99
2.167572,248,6.671900,99
2.176096,249,6.915600,99
2.184395,250,7.798400,93
2.192487,251,6.291500,93
2.201402,252,7.205300,93
2.210518,253,6.770300,93
2.220258,254,8.013900,93
2.228063,255,6.774500,93
2.236045,256,7.397300,93
2.242972,257,6.500900,93
2.250435,258,6.358900,93
2.258554,259,6.272800,93
2.266728,260,5.976500,93
2.274832,261,6.074100,93
2.283746,262,5.945400,93
2.291719,263,5.908600,93
2.299609,264,6.098900,93
2.307898,265,6.012000,93
2.316624,266,5.230200,93
2.325207,267,6.672200,93
2.333379,268,6.476000,93
2.341499,269,6.076600,93
2.349836,270,5.942300,93
2.358365,271,5.442800,93
2.367102,272,6.668700,93
2.375296,273,6.355600,93
2.384421,274,5.972800,86
2.392178,275,6.224700,86
2.400465,276,6.508400,86
2.408505,277,6.041700,86
2.417479,278,5.322600,86
2.425572,279,6.579400,86
2.433987,280,6.484500,86
2.441936,281,6.415400,86
2.450557,282,6.417800,86
2.458950,283,5.507200,86
2.467199,284,6.987200,86
2.475163,285,5.968400,86
2.483756,286,6.534900,86
2.492009,287,6.279600,86
2.500667,288,6.925300,86
2.508831,289,6.105300,86
2.517201,290,6.881600,86
2.525209,291,6.386300,86
2.533527,292,6.466600,86
2.541941,293,6.481500,86
2.550307,294,5.818000,86
2.558788,295,6.809200,86
2.566963,296,5.864600,86
2.575508,297,6.899600,86
2.584481,298,7.288800,89
2.592069,299,6.965500,89
2.600316,300,6.624900,89
2.608531,301,6.313200,89
2.617330,302,7.254000,89
2.625620,303,6.539300,89
2.633601,304,6.018000,89
2.641784,305,6.669500,89
2.650523,306,6.413800,89
2.658761,307,6.650300,89
2.666901,308,7.081500,89
2.675231,309,6.672500,89
2.683861,310,6.784900,89
2.692172,311,6.589200,89
2.700604,312,5.478900,89
2.709275,313,6.663900,89
2.717749,314,6.634000,89
2.725346,315,6.922100,89
2.733781,316,6.598000,89
2.742282,317,6.598000,89
2.751225,318,7.027600,89
2.759626,319,7.916600,89
2.767444,320,6.790500,89
2.775777,321,6.619400,89
2.786360,322,7.184200,90
