Black Myth:Wukong,Final Fantasy XVI,RDR2,frametime1
8.317306667,7.09,6.75,16.66666667
7.15443,6.79,6.36,16.66666667
6.639616667,6.89,5.84,16.66666667
6.713835,7.53,5.75,16.66666667
9.275741667,7.21,6.1,16.66666667
10.869465,7.22,5.86,16.66666667
8.35118,6.92,5.85,16.66666667
8.260048333,6.59,6.04,16.66666667
7.877411667,6.56,6,16.66666667
8.051385,6.99,5.98,16.66666667
7.981486667,7.35,6.01,16.66666667
10.14142833,6.84,5.94,16.66666667
10.18979667,6.87,5.96,16.66666667
9.847211667,7.12,6.1,16.66666667
9.596768333,7.04,6.28,16.66666667
9.970916667,6.84,6.36,16.66666667
9.698641667,7,6.49,16.66666667
9.361995,7.13,6.56,16.66666667
9.247745,7.25,6.25,16.66666667
9.303821667,7.38,6.34,16.66666667
9.669611667,7.02,6.29,16.66666667
9.584631667,7.09,6.28,16.66666667
9.456203333,6.6,5.93,16.66666667
9.276868333,6.85,6.04,16.66666667
8.726328333,6.98,5.83,16.66666667
8.560381667,6.99,6.04,16.66666667
8.517896667,6.69,5.97,16.66666667
8.39955,6.87,5.74,16.66666667
9.58961,6.95,5.92,16.66666667
10.82157,6.6,6.34,16.66666667
11.29628667,7.06,6.02,16.66666667
10.68943333,6.64,6.52,16.66666667
10.3008,7.1,5.96,16.66666667
11.55190333,7.23,5.89,16.66666667
10.90431,6.97,7.21,16.66666667
10.35697167,6.66,6.74,16.66666667
10.18055333,6.7,7.26,16.66666667
9.564675,6.74,7.3,16.66666667
9.636928333,6.86,6.53,16.66666667
8.809873333,6.96,7.06,16.66666667
8.374096667,7.14,7.16,16.66666667
8.23929,6.33,6.57,16.66666667
7.880935,7.26,5.96,16.66666667
7.836358333,6.76,5.63,16.66666667
7.836881667,6.81,5.86,16.66666667
7.641265,7.52,5.68,16.66666667
7.925123333,6.69,5.05,16.66666667
7.407231667,7.45,5.25,16.66666667
7.602826667,7.39,6.5,16.66666667
7.784201667,6.9,6.98,16.66666667
8.47986,7.14,6.76,16.66666667
7.717958333,7.5,7.24,16.66666667
7.528818333,6.49,7.01,16.66666667
7.1407,6.74,6.02,16.66666667
7.269801667,7.17,6.24,16.66666667
6.960838333,6.83,5.97,16.66666667
6.541608333,6.98,6.14,16.66666667
7.055931667,7.57,5.07,16.66666667
6.449851667,6.85,5.98,16.66666667
5.803161667,6.9,5.72,16.66666667
6.31657,7.22,6.74,16.66666667
6.972548333,6.83,6.73,16.66666667
6.724081667,6.68,7.24,16.66666667
6.744956667,6.53,6.2,16.66666667
6.927821667,6.96,6.37,16.66666667
